,accession,gene
711,>XM_019475408.1,CAALFM_C501020CA
713,>XM_019475409.1,CAALFM_C501050CA
715,>XM_019475410.1,CAALFM_C501170WA
717,>XM_019475411.1,CAALFM_C501420WA
719,>XM_019475412.1,CAALFM_C501540WA
721,>XM_019475413.1,SPO1
723,>XM_019475414.1,MTLA1
725,>XM_019475415.1,MTLA2
727,>XM_019475416.1,CAALFM_C501900CA
729,>XM_019475417.1,CAALFM_C502190CA
731,>XM_019475418.1,CAALFM_C502310CA
733,>XM_019475419.1,INT1
735,>XM_019475420.1,SPR28
737,>XM_019475421.1,CAALFM_C502810WA
739,>XM_019475422.1,CAALFM_C503110CA
741,>XM_019475423.1,CAALFM_C503290CA
743,>XM_019475424.1,CAALFM_C503400CA
745,>XM_019475425.1,CAALFM_C503440WA
747,>XM_019475426.1,CAALFM_C503800WA
749,>XM_019475427.1,CAALFM_C503890CA
751,>XM_019475428.1,PGA56
753,>XM_019475429.1,RFC3
755,>XM_019475430.1,CAALFM_C504330WA
757,>XM_019475431.1,YUH2
759,>XM_019475432.1,CAALFM_C504460CA
761,>XM_019475433.1,CAALFM_C504480CA
763,>XM_019475434.1,CUP1
765,>XM_019475435.1,RPL43A
767,>XM_019475436.1,CAALFM_C504690CA
769,>XM_019475437.1,CAALFM_C504860CA
771,>XM_019475438.1,DUN1
773,>XM_019475439.1,CAALFM_C600120WA
775,>XM_019475440.1,DPM2
777,>XM_019475441.1,CAALFM_C600530CA
779,>XM_019475442.1,FCA1
781,>XM_019475443.1,RPS13
783,>XM_019475444.1,CAALFM_C600660CA
785,>XM_019475445.1,CDC14
787,>XM_019475446.1,CAALFM_C600680CA
789,>XM_019475447.1,CAALFM_C600770CA
791,>XM_019475448.1,CAN3
793,>XM_019475449.1,CAALFM_C601090CA
795,>XM_019475450.1,CAALFM_C601210WA
797,>XM_019475451.1,CAALFM_C601330CA
799,>XM_019475452.1,CAALFM_C601340CA
801,>XM_019475453.1,CAALFM_C601530CA
803,>XM_019475454.1,ANB1
805,>XM_019475455.1,MED19
807,>XM_019475456.1,RPL32
809,>XM_019475457.1,ZCF18
811,>XM_019475458.1,FPG1
813,>XM_019475459.1,HCH1
815,>XM_019475460.1,CAALFM_C601940WA
817,>XM_019475461.1,RPL25
819,>XM_019475462.1,RPL23A
821,>XM_019475463.1,SAR1
823,>XM_019475464.1,CAALFM_C602350CA
825,>XM_019475465.1,CAALFM_C602930WA
827,>XM_019475466.1,CAALFM_C603130WA
829,>XM_019475467.1,CAALFM_C603390WA
831,>XM_019475468.1,NOG2
833,>XM_019475469.1,CAALFM_C604100WA
835,>XM_019475470.1,CAALFM_C604150WA
837,>XM_019475471.1,CAALFM_C604250WA
839,>XM_019475472.1,SOD3
841,>XM_019475473.1,HGT13
843,>XM_019475474.1,GBP2
845,>XM_019475475.1,CAALFM_C700630CA
847,>XM_019475476.1,RPS28B
849,>XM_019475477.1,ACB1
851,>XM_019475478.1,CAALFM_C700790WA
853,>XM_019475479.1,RPS18
855,>XM_019475480.1,CAALFM_C701070CA
857,>XM_019475481.1,CAALFM_C701160CA
859,>XM_019475482.1,ASC1
861,>XM_019475483.1,PRE10
863,>XM_019475484.1,CAALFM_C701610WA
865,>XM_019475485.1,CAALFM_C701650WA
867,>XM_019475486.1,STE18
869,>XM_019475487.1,CRN1
871,>XM_019475488.1,TOM7
873,>XM_019475489.1,CAALFM_C702100WA
875,>XM_019475490.1,CAALFM_C702470CA
877,>XM_019475491.1,CAALFM_C702510WA
879,>XM_019475492.1,LMO1
881,>XM_019475493.1,HHO1
883,>XM_019475494.1,CAALFM_C703380WA
885,>XM_019475495.1,TIM9
887,>XM_019475496.1,RAD6
889,>XM_019475497.1,CAALFM_C704170WA
891,>XM_019475498.1,CAALFM_C704260WA
893,>XM_019475499.1,CAALFM_C704340CA
895,>XM_019475500.1,LSM6
897,>XM_019475501.1,ATP17
899,>XM_019475502.1,CAALFM_CR00340CA
901,>XM_019475503.1,CAALFM_CR00430CA
903,>XM_019475504.1,CAALFM_CR00820CA
905,>XM_019475505.1,CAALFM_CR00890CA
907,>XM_019475506.1,CAALFM_CR00910WA
909,>XM_019475507.1,ARC19
911,>XM_019475508.1,SFT1
913,>XM_019475509.1,CAALFM_CR01300WA
915,>XM_019475510.1,ATP3
917,>XM_019475511.1,CAALFM_CR01440CA
919,>XM_019475512.1,CAALFM_CR01490CA
921,>XM_019475513.1,TRP2
923,>XM_019475514.1,PTR2
925,>XM_019475515.1,VMA4
927,>XM_019475516.1,CAALFM_CR02100CA
929,>XM_019475517.1,ECM4
931,>XM_019475518.1,RSR1
933,>XM_019475519.1,CAALFM_CR02340WA
935,>XM_019475520.1,DBP2
937,>XM_019475521.1,ERV1
939,>XM_019475522.1,RPL28
941,>XM_019475523.1,ZCF11
943,>XM_019475524.1,MLC1
945,>XM_019475525.1,CAALFM_CR03260WA
947,>XM_019475526.1,CAALFM_CR03310CA
949,>XM_019475527.1,NOT4
951,>XM_019475528.1,HXT5
953,>XM_019475529.1,CIT1
955,>XM_019475530.1,RPS30
957,>XM_019475531.1,PPH3
959,>XM_019475532.1,SEC22
961,>XM_019475533.1,CAALFM_CR04020CA
963,>XM_019475534.1,SNP3
965,>XM_019475535.1,CAALFM_CR04400WA
967,>XM_019475536.1,MIM1
969,>XM_019475537.1,PRE6
971,>XM_019475538.1,CAALFM_CR04650WA
973,>XM_019475539.1,UGP1
975,>XM_019475540.1,CAALFM_CR04750WA
977,>XM_019475541.1,MVB12
979,>XM_019475542.1,VMA13
981,>XM_019475543.1,HGT9
983,>XM_019475544.1,CAALFM_CR05150WA
985,>XM_019475545.1,CAALFM_CR05330WA
987,>XM_019475546.1,CAALFM_CR05580CA
989,>XM_019475547.1,CAALFM_CR05960WA
991,>XM_019475548.1,CAALFM_CR06690CA
993,>XM_019475549.1,LSC2
995,>XM_019475550.1,CAALFM_CR06780WA
997,>XM_019475551.1,CAALFM_CR06850CA
999,>XM_019475552.1,ATX1
1001,>XM_019475553.1,SMX4
1003,>XM_019475554.1,CAALFM_CR07510WA
1005,>XM_019475555.1,RPS27
1007,>XM_019475556.1,CAALFM_CR07740WA
1009,>XM_019475557.1,CAALFM_CR07760WA
1011,>XM_019475558.1,DAD4
1013,>XM_019475559.1,NOP10
1015,>XM_019475560.1,RPP2A
1017,>XM_019475561.1,CAALFM_CR08380CA
1019,>XM_019475562.1,TPM2
1021,>XM_019475563.1,CAALFM_CR08480CA
1023,>XM_019475564.1,CAALFM_CR08520CA
1025,>XM_019475565.1,TAR1
1027,>XM_019475566.1,CAALFM_CR08830WA
1029,>XM_019475567.1,ARP2
1031,>XM_019475568.1,TUB1
1033,>XM_019475569.1,PRE8
1035,>XM_019475570.1,BGL22
1037,>XM_019475571.1,CAALFM_CR09440CA
1039,>XM_019475572.1,CAALFM_CR09460CA
1041,>XM_019475573.1,CAALFM_CR09580CA
1043,>XM_019475574.1,YKE2
1045,>XM_019475575.1,CAALFM_CR09640CA
1047,>XM_019475576.1,UBC4
1049,>XM_019475577.1,CAALFM_CR10000CA
1051,>XM_019475578.1,FDH3
1053,>XM_436573.1,CAALFM_C300590WA
1055,>XM_441044.2,CAALFM_CR06060WA
1057,>XM_441049.2,CAALFM_CR06090WA
1059,>XM_441054.1,RPL7
1061,>XM_442666.2,LYP1
1063,>XM_442675.2,CAALFM_C103890WA
1065,>XM_443225.2,LYS1
1067,>XM_443374.1,CAALFM_CR09620CA
1069,>XM_443846.2,CAALFM_C602090CA
1071,>XM_704846.2,CAALFM_C403810WA
1073,>XM_704847.1,NUP84
1075,>XM_704848.1,RPN6
1077,>XM_704849.2,CAALFM_C403780CA
1079,>XM_704850.2,CAALFM_C403770WA
1081,>XM_704851.1,CAALFM_C403760WA
1083,>XM_704852.1,CAALFM_C403750CA
1085,>XM_704853.1,CAALFM_C403740WA
1087,>XM_704854.2,CAALFM_C403730CA
1089,>XM_704855.2,CAALFM_C403720CA
1091,>XM_704856.2,CAALFM_C403710CA
1093,>XM_704857.1,CAALFM_C403700WA
1095,>XM_704858.1,CAALFM_C403690CA
1097,>XM_704859.2,CAALFM_C403680CA
1099,>XM_704860.2,SPO75
1101,>XM_704862.2,CDR3
1103,>XM_704865.1,OSH3
1105,>XM_704866.2,CAALFM_C403580WA
1107,>XM_704869.2,HWP1
1109,>XM_704870.2,CAALFM_C403560WA
1111,>XM_704871.2,RAD2
1113,>XM_704872.2,ECM38
1115,>XM_704873.2,CAALFM_C403530WA
1117,>XM_704874.2,RBT1
1119,>XM_704882.1,CTR2
1121,>XM_704883.2,CAALFM_C103690WA
1123,>XM_704890.1,CAALFM_C206660WA
1125,>XM_704891.2,CAALFM_C206650CA
1127,>XM_704908.2,CAALFM_C301150CA
1129,>XM_704910.1,RRP15
1131,>XM_704917.2,CAALFM_C106190CA
1133,>XM_704918.2,TLO34
